AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,ObjectId
2600,POLICE OFFICER                     ,F,W ,40 - 49,44,3RD DIVISION                                           ,1ST PLATOON                                            ,19,35
2607,POLICE LIEUTENANT                  ,M,W ,40 - 49,43,CIS HOMICIDE                                           ,STAFF                                                  ,21,36
2614,POLICE MAJOR                       ,M,W ,40 - 49,48,4TH DIVISION                                           ,STAFF                                                  ,23,37
2616,POLICE LIEUTENANT                  ,M,B ,50 - 59,50,6TH DIVISION                                           ,STAFF                                                  ,25,38
2621,POLICE OFFICER                     ,M,W ,50 - 59,56,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,19,39
2623,POLICE OFFICER                     ,F,W ,50 - 59,52,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,16,40
2627,POLICE MAJOR                       ,M,W ,OVER 60,69,NARCOTICS                                              ,STAFF                                                  ,46,41
2650,POLICE OFFICER                     ,M,W ,50 - 59,54,NARCOTICS                                              ,SCRIPT TEAM                                            ,21,42
2652,POLICE SERGEANT                    ,M,W ,50 - 59,50,5TH DIVISION                                           ,2ND PLATOON                                            ,25,43
2653,POLICE OFFICER                     ,M,B ,50 - 59,52,3RD DIVISION                                           ,1ST PLATOON                                            ,23,44
2654,ASST POLICE CHIEF-LT COLONEL       ,M,W ,40 - 49,48,SUPPORT BUREAU                                         ,STAFF                                                  ,21,45
2655,POLICE SERGEANT                    ,M,W ,40 - 49,47,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,20,46
2659,POLICE MAJOR                       ,M,W ,50 - 59,57,1ST DIVISION                                           ,STAFF                                                  ,34,47
2661,POLICE OFFICER                     ,M,B ,50 - 59,56,WELLNESS UNIT                                          ,STAFF                                                  ,10,48
2664,POLICE MAJOR                       ,M,W ,50 - 59,57,TRAINING                                               ,STAFF                                                  ,34,49
2665,POLICE SERGEANT                    ,F,W ,OVER 60,64,PROPERTY ROOM SECTION                                  ,CRIMES AGAINST CHILDREN                                ,34,50
2016,POLICE SERGEANT                    ,M,A ,40 - 49,49,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,24,51
6903,POLICE LIEUTENANT                  ,M,W ,50 - 59,59,TECHNICAL SERVICES                                     ,STAFF                                                  ,31,52
2608,POLICE OFFICER                     ,F,W ,40 - 49,49,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,22,53
2390,POLICE OFFICER                     ,M,W ,50 - 59,54,2ND DIVISION                                           ,2ND PLATOON                                            ,24,54
2242,POLICE OFFICER                     ,M,W ,50 - 59,57,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,0,55
6029,POLICE SERGEANT                    ,M,W ,50 - 59,51,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,27,56
2344,POLICE MAJOR                       ,M,W ,50 - 59,52,SPECIAL INVESTIGATIONS DIVISION                        ,STAFF                                                  ,24,57
2350,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,8TH DIVISION                                           ,STAFF                                                  ,24,58
2104,POLICE OFFICER                     ,F,W ,50 - 59,58,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,26,59
2992,POLICE SERGEANT                    ,M,W ,OVER 60,60,6TH DIVISION                                           ,2ND PLATOON                                            ,27,60
2729,POLICE LIEUTENANT                  ,M,W ,50 - 59,57,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,33,61
2916,ASST POLICE CHIEF-LT COLONEL       ,F,W ,50 - 59,51,PATROL BUREAU                                          ,STAFF                                                  ,28,62
6254,POLICE OFFICER                     ,M,W ,OVER 60,62,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,33,63
6561,POLICE OFFICER                     ,M,W ,50 - 59,53,TRAFFIC                                                ,2ND PLATOON                                            ,31,64
6711,POLICE SERGEANT                    ,F,W ,50 - 59,53,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,24,65
6144,POLICE LIEUTENANT                  ,M,W ,50 - 59,59,NARCOTICS                                              ,STAFF                                                  ,34,66
6165,POLICE MAJOR                       ,M,B ,OVER 60,62,8TH DIVISION                                           ,STAFF                                                  ,40,67
6084,POLICE SERGEANT                    ,M,W ,50 - 59,52,CIS HOMICIDE                                           ,2ND PLATOON                                            ,31,68
2000,POLICE OFFICER                     ,M,W ,50 - 59,54,TRAFFIC                                                ,1ST PLATOON                                            ,22,69
2001,POLICE OFFICER                     ,F,W ,40 - 49,42,7TH DIVISION                                           ,3RD PLATOON                                            ,18,70
2004,POLICE SERGEANT                    ,M,W ,40 - 49,45,CIS HOMICIDE                                           ,1ST PLATOON                                            ,23,71
2005,POLICE OFFICER                     ,F,W ,30 - 39,39,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,18,72
2006,POLICE SERGEANT                    ,M,W ,50 - 59,50,1ST DIVISION                                           ,BIKE PLATOON                                           ,25,73
2010,POLICE OFFICER                     ,F,W ,OVER 60,64,2ND DIVISION                                           ,2ND PLATOON                                            ,24,74
2013,POLICE OFFICER                     ,F,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,25,75
2014,POLICE MAJOR                       ,F,B ,40 - 49,48,4TH DIVISION                                           ,STAFF                                                  ,24,76
2017,POLICE OFFICER                     ,M,W ,50 - 59,55,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,20,77
2018,POLICE OFFICER                     ,M,W ,50 - 59,51,7TH DIVISION                                           ,3RD PLATOON                                            ,21,78
2019,POLICE SERGEANT                    ,M,W ,40 - 49,48,NARCOTICS                                              ,SCRIPT TEAM                                            ,25,79
2024,POLICE SERGEANT                    ,M,W ,40 - 49,42,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,19,80
2025,POLICE OFFICER                     ,M,W ,50 - 59,53,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,23,81
2026,POLICE OFFICER                     ,M,B ,50 - 59,51,5TH DIVISION                                           ,2ND PLATOON                                            ,23,82
2028,POLICE OFFICER                     ,M,W ,50 - 59,50,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,23,83
2029,POLICE LIEUTENANT                  ,M,B ,50 - 59,55,8TH DIVISION                                           ,STAFF                                                  ,25,84
2030,POLICE OFFICER                     ,M,W ,50 - 59,53,8TH DIVISION                                           ,1ST PLATOON                                            ,21,85
2137,POLICE LIEUTENANT                  ,M,W ,OVER 60,64,MOUNTED PATROL                                         ,STAFF                                                  ,20,86
6600,POLICE SERGEANT                    ,M,W ,40 - 49,49,SUPPORT UNIT                                           ,SCRIPT TEAM                                            ,23,87
2032,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,1ST PLATOON                                            ,24,88
2033,POLICE OFFICER                     ,M,W ,50 - 59,53,5TH DIVISION                                           ,2ND PLATOON                                            ,24,89
2034,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,2ND PLATOON                                            ,23,90
2037,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,8TH DIVISION                                           ,STAFF                                                  ,23,91
2038,POLICE OFFICER                     ,M,W ,50 - 59,50,1ST DIVISION                                           ,BIKE PLATOON                                           ,23,92
2039,POLICE OFFICER                     ,F,B ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,23,93
2040,POLICE MAJOR                       ,M,W ,50 - 59,50,NARCOTICS                                              ,STAFF                                                  ,25,94
2041,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,20,95
2042,POLICE OFFICER                     ,M,W ,OVER 60,61,4TH DIVISION                                           ,1ST PLATOON                                            ,24,96
2043,POLICE OFFICER                     ,M,B ,50 - 59,57,1ST DIVISION                                           ,BIKE PLATOON                                           ,19,97
2044,POLICE SERGEANT                    ,M,B ,40 - 49,46,8TH DIVISION                                           ,2ND PLATOON                                            ,24,98
2045,POLICE MAJOR                       ,M,W ,50 - 59,52,9TH DIVISION                                           ,STAFF                                                  ,25,99
2046,POLICE OFFICER                     ,M,W ,50 - 59,54,5TH DIVISION                                           ,2ND PLATOON                                            ,25,100
2047,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,7TH DIVISION                                           ,STAFF                                                  ,23,101
2048,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,2ND PLATOON                                            ,24,102
2049,POLICE OFFICER                     ,M,W ,50 - 59,51,CIS FORENSIC INVESTIGATIONS                            ,POLYGRAPH SQUAD                                        ,23,103
2051,POLICE OFFICER                     ,M,W ,50 - 59,58,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,23,104
2053,POLICE OFFICER                     ,M,W ,40 - 49,45,8TH DIVISION                                           ,2ND PLATOON                                            ,22,105
2054,POLICE LIEUTENANT                  ,M,W ,50 - 59,50,1ST DIVISION                                           ,STAFF                                                  ,23,106
2055,POLICE OFFICER                     ,M,W ,50 - 59,55,9TH DIVISION                                           ,SQUAD 1                                                ,21,107
2056,POLICE SERGEANT                    ,M,W ,50 - 59,50,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,25,108
2058,POLICE SERGEANT                    ,M,W ,40 - 49,47,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,23,109
2061,POLICE OFFICER                     ,M,W ,40 - 49,44,COURT LIAISON OFFICE                                   ,STAFF                                                  ,18,110
2062,POLICE OFFICER                     ,M,B ,40 - 49,45,7TH DIVISION                                           ,1ST PLATOON                                            ,23,111
2117,POLICE OFFICER                     ,F,W ,50 - 59,52,5TH DIVISION                                           ,1ST PLATOON                                            ,25,112
2063,POLICE OFFICER                     ,M,W ,40 - 49,48,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,21,113
2064,POLICE OFFICER                     ,M,B ,50 - 59,53,CIS HOMICIDE                                           ,SQUAD 2                                                ,20,114
2066,POLICE OFFICER                     ,F,W ,50 - 59,55,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,23,115
2067,POLICE OFFICER                     ,M,B ,50 - 59,58,NARCOTICS                                              ,SQUAD 2                                                ,25,116
2069,POLICE OFFICER                     ,M,W ,50 - 59,56,5TH DIVISION                                           ,DETECTIVES                                             ,23,117
2071,POLICE OFFICER                     ,M,U ,50 - 59,52,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,22,118
2072,POLICE OFFICER                     ,M,W ,40 - 49,46,RIVER PATROL                                           ,STAFF                                                  ,19,119
2074,POLICE SERGEANT                    ,M,W ,40 - 49,46,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,18,120
2076,POLICE OFFICER                     ,M,W ,40 - 49,49,2ND DIVISION                                           ,DETECTIVES                                             ,25,121
2077,POLICE MAJOR                       ,M,W ,OVER 60,70,2ND DIVISION                                           ,STAFF                                                  ,44,122
2079,POLICE OFFICER                     ,M,W ,50 - 59,51,5TH DIVISION                                           ,2ND PLATOON                                            ,25,123
2081,POLICE SERGEANT                    ,M,W ,40 - 49,47,6TH DIVISION                                           ,2ND PLATOON                                            ,23,124
2082,POLICE LIEUTENANT                  ,F,W ,40 - 49,42,CIS ROBBERY                                            ,STAFF                                                  ,19,125
2083,POLICE SERGEANT                    ,M,W ,40 - 49,45,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,23,126
2084,POLICE OFFICER                     ,F,W ,40 - 49,44,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,18,127
2085,POLICE OFFICER                     ,F,W ,40 - 49,48,CANINE UNIT                                            ,2ND PLATOON                                            ,24,128
2086,POLICE OFFICER                     ,M,W ,50 - 59,50,8TH DIVISION                                           ,1ST PLATOON                                            ,18,129
2087,POLICE OFFICER                     ,M,W ,50 - 59,50,TRAFFIC                                                ,3RD PLATOON                                            ,26,130
2088,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,21,131
2089,POLICE SERGEANT                    ,M,W ,40 - 49,48,7TH DIVISION                                           ,1ST PLATOON                                            ,18,132
2091,POLICE MAJOR                       ,M,H ,50 - 59,50,6TH DIVISION                                           ,STAFF                                                  ,20,133
2092,POLICE OFFICER                     ,M,W ,50 - 59,51,TRAINING                                               ,SPECIAL PROJECTS UNIT                                  ,23,134
2093,POLICE OFFICER                     ,M,B ,50 - 59,53,6TH DIVISION                                           ,1ST PLATOON                                            ,25,135
2094,POLICE OFFICER                     ,M,B ,40 - 49,48,NARCOTICS                                              ,SCRIPT TEAM                                            ,23,136
2095,POLICE OFFICER                     ,M,W ,40 - 49,43,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,18,137
2096,POLICE OFFICER                     ,M,B ,50 - 59,56,4TH DIVISION                                           ,STAFF                                                  ,21,138
2097,POLICE SERGEANT                    ,M,W ,40 - 49,48,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,18,139
2098,POLICE OFFICER                     ,M,W ,40 - 49,49,3RD DIVISION                                           ,1ST PLATOON                                            ,18,140
2099,POLICE CHIEF                       ,M,W ,OVER 60,66,CHIEF`S STAFF                                          ,STAFF                                                  ,43,141
2100,POLICE OFFICER                     ,M,W ,40 - 49,42,5TH DIVISION                                           ,1ST PLATOON                                            ,20,142
2102,POLICE OFFICER                     ,M,W ,50 - 59,59,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,25,143
2103,POLICE SERGEANT                    ,M,H ,40 - 49,43,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,18,144
2106,POLICE OFFICER                     ,M,W ,40 - 49,49,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,25,145
2109,POLICE OFFICER                     ,M,W ,40 - 49,41,8TH DIVISION                                           ,1ST PLATOON                                            ,19,146
2110,POLICE OFFICER                     ,M,B ,50 - 59,51,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,18,147
2111,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,8TH DIVISION                                           ,STAFF                                                  ,21,148
2112,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,5TH DIVISION                                           ,STAFF                                                  ,21,149
2113,POLICE OFFICER                     ,F,W ,40 - 49,49,4TH DIVISION                                           ,DETECTIVES                                             ,25,150
2116,POLICE SERGEANT                    ,M,W ,40 - 49,43,CANINE UNIT                                            ,STAFF                                                  ,18,151
2118,POLICE OFFICER                     ,M,W ,50 - 59,55,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,18,152
2121,POLICE SERGEANT                    ,M,W ,50 - 59,55,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,25,153
2122,POLICE OFFICER                     ,M,W ,40 - 49,42,3RD DIVISION                                           ,DETECTIVES                                             ,18,154
2125,POLICE SERGEANT                    ,M,W ,50 - 59,50,SWAT UNIT                                              ,STAFF                                                  ,25,155
2127,POLICE OFFICER                     ,M,W ,OVER 60,71,5TH DIVISION                                           ,1ST PLATOON                                            ,25,156
2128,POLICE SERGEANT                    ,M,W ,50 - 59,53,1ST DIVISION                                           ,1ST PLATOON                                            ,18,157
2129,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,18,158
2131,POLICE LIEUTENANT                  ,M,W ,OVER 60,65,5TH DIVISION                                           ,STAFF                                                  ,42,159
2134,POLICE SERGEANT                    ,M,W ,50 - 59,52,9TH DIVISION                                           ,STAFF                                                  ,25,160
2139,POLICE SERGEANT                    ,F,W ,40 - 49,43,CIS HOMICIDE                                           ,SQUAD 4                                                ,18,161
2140,POLICE OFFICER                     ,M,W ,50 - 59,50,9TH DIVISION                                           ,FUGITIVE APPREHENSION SQUAD                            ,24,162
2142,POLICE OFFICER                     ,M,B ,OVER 60,62,TRAFFIC                                                ,2ND PLATOON                                            ,21,163
2143,POLICE OFFICER                     ,M,W ,40 - 49,44,TRAINING                                               ,BASIC ACADEMY                                          ,18,164
2148,POLICE OFFICER                     ,M,B ,OVER 60,73,2ND DIVISION                                           ,2ND PLATOON                                            ,38,165
2151,POLICE OFFICER                     ,F,W ,40 - 49,48,6TH DIVISION                                           ,RESOURCE OFFICERS                                      ,24,166
2162,POLICE OFFICER                     ,M,B ,OVER 60,67,1ST DIVISION                                           ,STAFF                                                  ,35,167
2163,POLICE OFFICER                     ,F,W ,40 - 49,40,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,19,168
2165,POLICE OFFICER                     ,M,W ,50 - 59,58,WELLNESS UNIT                                          ,STAFF                                                  ,14,169
2167,POLICE OFFICER                     ,M,W ,OVER 60,67,2ND DIVISION                                           ,HALO/DRO                                               ,14,170
2170,POLICE SERGEANT                    ,M,W ,40 - 49,45,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,18,171
2174,POLICE LIEUTENANT                  ,M,W ,OVER 60,68,PATROL BUREAU                                          ,STAFF                                                  ,36,172
2178,POLICE OFFICER                     ,M,W ,OVER 60,63,6TH DIVISION                                           ,2ND PLATOON                                            ,36,173
2184,POLICE OFFICER                     ,M,W ,OVER 60,62,8TH DIVISION                                           ,2ND PLATOON                                            ,35,174
2186,POLICE SERGEANT                    ,M,B ,50 - 59,52,2ND DIVISION                                           ,2ND PLATOON                                            ,25,175
2187,POLICE LIEUTENANT                  ,M,W ,OVER 60,60,5TH DIVISION                                           ,STAFF                                                  ,35,176
2108,POLICE OFFICER                     ,M,W ,OVER 60,71,TRAFFIC                                                ,4TH PLATOON                                            ,42,177
2090,POLICE OFFICER                     ,M,W ,40 - 49,42,MAJOR CASE UNIT                                        ,FEDERAL TASK FORCES                                    ,18,178
2050,POLICE SERGEANT                    ,M,W ,50 - 59,53,TRAINING                                               ,BASIC ACADEMY                                          ,24,179
2021,POLICE OFFICER                     ,F,H ,40 - 49,44,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,18,180
2020,POLICE OFFICER                     ,M,W ,50 - 59,59,CIS HOMICIDE                                           ,SQUAD 2                                                ,24,181
2811,POLICE SERGEANT                    ,M,W ,OVER 60,60,5TH DIVISION                                           ,FLEX PLATOON                                           ,31,182
6048,POLICE OFFICER                     ,F,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,27,183
2189,POLICE MAJOR                       ,M,W ,40 - 49,42,8TH DIVISION                                           ,STAFF                                                  ,18,184
2190,POLICE SERGEANT                    ,M,W ,50 - 59,58,2ND DIVISION                                           ,2ND PLATOON                                            ,35,185
2192,POLICE OFFICER                     ,M,B ,50 - 59,58,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,35,186
2194,POLICE SERGEANT                    ,M,W ,OVER 60,67,5TH DIVISION                                           ,1ST PLATOON                                            ,35,187
2197,POLICE SERGEANT                    ,M,W ,50 - 59,51,NARCOTICS                                              ,STAFF                                                  ,25,188
2199,POLICE OFFICER                     ,M,W ,50 - 59,58,2ND DIVISION                                           ,FLEX PLATOON                                           ,24,189
2200,POLICE OFFICER                     ,F,B ,OVER 60,63,8TH DIVISION                                           ,2ND PLATOON                                            ,35,190
2201,POLICE SERGEANT                    ,M,W ,OVER 60,64,CRIMES AGAINST CHILDREN                                ,MISSING PERSONS                                        ,35,191
2202,POLICE OFFICER                     ,M,W ,OVER 60,60,CIS FORENSIC INVESTIGATIONS                            ,VIDEO FORENSICS                                        ,35,192
2206,POLICE OFFICER                     ,M,B ,OVER 60,64,5TH DIVISION                                           ,2ND PLATOON                                            ,35,193
2212,POLICE OFFICER                     ,F,B ,OVER 60,72,4TH DIVISION                                           ,2ND PLATOON                                            ,35,194
2213,POLICE OFFICER                     ,M,B ,OVER 60,71,TRAFFIC                                                ,2ND PLATOON                                            ,35,195
2215,POLICE MAJOR                       ,M,W ,OVER 60,60,SPECIAL OPERATIONS                                     ,STAFF                                                  ,35,196
2217,POLICE OFFICER                     ,M,B ,50 - 59,58,TRAFFIC                                                ,2ND PLATOON                                            ,35,197
2218,POLICE OFFICER                     ,M,W ,50 - 59,52,8TH DIVISION                                           ,1ST PLATOON                                            ,18,198
2219,POLICE OFFICER                     ,M,W ,OVER 60,72,4TH DIVISION                                           ,2ND PLATOON                                            ,34,199
2221,POLICE OFFICER                     ,M,W ,OVER 60,65,CANINE UNIT                                            ,2ND PLATOON                                            ,35,200
2407,POLICE SERGEANT                    ,M,W ,40 - 49,44,SUPPORT UNIT                                           ,INVESTIGATIVE SUPPORT                                  ,20,201
2410,POLICE OFFICER                     ,M,W ,40 - 49,48,7TH DIVISION                                           ,2ND PLATOON                                            ,21,202
2413,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,1ST PLATOON                                            ,6,203
2415,POLICE SERGEANT                    ,M,W ,40 - 49,49,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,22,204
2416,POLICE SERGEANT                    ,M,W ,50 - 59,52,CANINE UNIT                                            ,STAFF                                                  ,22,205
2418,ASST POLICE CHIEF-LT COLONEL       ,M,W ,40 - 49,48,ADMINISTRATIVE BUREAU                                  ,STAFF                                                  ,25,206
2419,POLICE SERGEANT                    ,F,W ,40 - 49,43,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,20,207
2421,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,1ST DIVISION                                           ,STAFF                                                  ,22,208
2423,POLICE SERGEANT                    ,M,W ,OVER 60,60,2ND DIVISION                                           ,2ND PLATOON                                            ,21,209
2425,POLICE SERGEANT                    ,M,W ,40 - 49,49,COURT LIAISON OFFICE                                   ,STAFF                                                  ,23,210
2427,ASST POLICE CHIEF-LT COLONEL       ,M,W ,40 - 49,45,ADMINISTRATIVE BUREAU                                  ,STAFF                                                  ,21,211
2429,POLICE OFFICER                     ,M,W ,40 - 49,46,6TH DIVISION                                           ,1ST PLATOON                                            ,22,212
2430,POLICE OFFICER                     ,F,W ,50 - 59,54,6TH DIVISION                                           ,DETECTIVES                                             ,22,213
2431,POLICE OFFICER                     ,M,B ,50 - 59,54,7TH DIVISION                                           ,1ST PLATOON                                            ,22,214
2432,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,24,215
2437,POLICE LIEUTENANT                  ,M,W ,50 - 59,55,1ST DIVISION                                           ,STAFF                                                  ,25,216
2439,POLICE OFFICER                     ,F,W ,50 - 59,50,5TH DIVISION                                           ,DETECTIVES                                             ,21,217
2440,POLICE OFFICER                     ,M,W ,40 - 49,48,1ST DIVISION                                           ,DETECTIVES                                             ,20,218
2442,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,CIS FORENSIC INVESTIGATIONS                            ,CSU STAFF                                              ,20,219
2443,POLICE OFFICER                     ,M,W ,50 - 59,56,3RD DIVISION                                           ,1ST PLATOON                                            ,19,220
2444,ASST POLICE CHIEF-LT COLONEL       ,M,W ,50 - 59,53,PATROL BUREAU                                          ,STAFF                                                  ,22,221
2445,POLICE SERGEANT                    ,M,W ,50 - 59,54,PUBLIC INFORMATION OFFICE                              ,STAFF                                                  ,22,222
2447,POLICE OFFICER                     ,M,W ,40 - 49,45,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,22,223
